"tick","total_blue","total_orange","total_red","total_yellow","total_green","total_purple","total_magenta","total_white","run_id"
0.5,17,34,148,9,50,26,117,1,5
1.5,16,35,145,9,51,26,123,1,5
2.5,16,36,146,8,52,26,125,1,5
3.5,16,36,146,8,55,26,126,1,5
4.5,16,35,145,7,56,26,131,1,5
5.5,15,35,145,7,56,26,133,1,5
6.5,15,35,145,7,55,26,138,1,5
7.5,15,37,145,7,52,26,142,1,5
8.5,15,37,144,7,51,26,145,1,5
9.5,15,37,143,7,53,26,147,1,5
10.5,15,39,139,7,53,27,153,1,5
11.5,15,39,138,7,54,27,157,1,5
12.5,15,39,136,7,52,28,163,1,5
13.5,15,38,135,7,52,28,166,1,5
14.5,15,38,134,7,51,29,168,1,5
15.5,15,38,135,7,49,27,173,1,5
16.5,14,38,133,7,49,28,175,1,5
17.5,15,38,132,6,49,28,176,1,5
18.5,15,38,130,6,47,29,179,1,5
19.5,16,39,125,5,45,32,182,1,5
20.5,16,39,123,5,44,33,184,1,5
21.5,14,39,122,5,44,35,186,1,5
22.5,12,39,117,5,39,40,193,1,5
23.5,12,39,110,5,39,47,193,1,5
24.5,12,38,107,5,39,47,197,1,5
25.5,11,38,107,5,39,47,198,1,5
26.5,11,36,103,5,39,47,204,1,5
27.5,11,34,103,5,39,45,208,1,5
28.5,11,33,101,5,39,48,208,1,5
29.5,11,32,97,5,38,50,212,1,5
30.5,11,32,97,5,38,48,214,1,5
31.5,10,31,96,5,38,46,219,1,5
32.5,9,30,96,5,38,47,220,1,5
33.5,9,30,94,5,38,47,222,1,5
34.5,9,30,95,5,38,46,222,1,5
35.5,8,30,95,5,38,46,223,1,5
36.5,8,30,93,5,38,49,222,1,5
37.5,8,30,91,5,38,51,222,1,5
38.5,8,30,90,5,38,51,223,1,5
39.5,8,30,90,5,38,51,223,1,5
40.5,8,30,90,5,38,50,224,1,5
41.5,8,30,90,5,38,50,224,1,5
42.5,8,30,91,5,38,48,225,1,5
43.5,8,30,91,5,38,48,225,1,5
44.5,8,30,91,5,38,48,225,1,5
45.5,7,30,90,5,38,49,226,1,5
46.5,7,30,87,5,37,51,228,1,5
47.5,7,30,87,5,37,49,230,1,5
48.5,7,30,87,5,37,49,230,1,5
49.5,7,30,87,5,37,49,230,1,5
50.5,7,30,87,5,37,48,231,1,5
51.5,7,30,86,5,37,49,231,1,5
52.5,7,30,85,5,36,50,232,1,5
53.5,7,30,85,5,35,49,234,1,5
54.5,7,30,85,5,35,47,236,1,5
55.5,7,30,85,5,35,47,236,1,5
56.5,7,30,85,5,35,47,236,1,5
57.5,7,30,85,5,35,47,236,1,5
58.5,7,30,85,5,35,47,236,1,5
59.5,7,30,85,5,35,46,237,1,5
60.5,7,30,84,5,35,47,237,1,5
61.5,7,30,84,5,35,48,236,1,5
62.5,7,30,84,5,35,47,237,1,5
63.5,7,30,84,5,35,47,237,1,5
64.5,7,30,82,5,35,49,237,1,5
65.5,7,30,83,5,35,48,237,1,5
66.5,7,30,82,5,35,49,237,1,5
67.5,7,30,80,5,35,50,238,1,5
68.5,7,30,80,5,35,50,238,1,5
69.5,7,30,80,5,35,50,238,1,5
70.5,7,30,79,5,35,50,239,1,5
71.5,7,30,79,5,35,50,239,1,5
72.5,7,30,79,5,35,50,239,1,5
73.5,7,30,79,5,35,50,239,1,5
74.5,7,30,78,5,35,50,240,1,5
75.5,7,30,78,5,35,50,240,1,5
76.5,7,30,77,5,35,50,241,1,5
77.5,7,30,76,5,35,50,242,1,5
78.5,7,30,76,5,35,50,242,1,5
79.5,7,30,76,5,35,50,242,1,5
80.5,7,30,76,5,35,49,243,1,5
81.5,7,30,76,5,35,48,244,1,5
82.5,7,30,76,5,35,48,244,1,5
83.5,7,30,76,5,35,48,244,1,5
84.5,7,30,76,5,35,48,244,1,5
85.5,7,30,76,5,35,48,244,1,5
86.5,7,30,76,5,34,47,246,1,5
87.5,7,30,76,5,34,46,247,1,5
88.5,7,30,76,5,34,45,248,1,5
89.5,7,30,76,5,34,45,248,1,5
90.5,7,30,76,5,34,44,249,1,5
91.5,7,30,76,5,34,42,251,1,5
92.5,7,30,76,5,34,39,254,1,5
93.5,7,30,76,5,34,38,255,1,5
94.5,7,30,76,5,34,37,256,1,5
95.5,7,30,76,5,34,35,258,1,5
96.5,7,30,76,5,34,35,258,1,5
97.5,7,30,76,5,34,34,259,1,5
98.5,7,30,76,5,34,33,260,1,5
99.5,7,30,76,5,34,32,261,1,5
100,7,30,76,5,34,32,261,1,5
