x,y,color,centroid_x,centroid_y
-49,-49,0,-50,-50
-49,-48,0,-50,-50
-49,-47,0,-50,-50
-49,-46,0,-50,-50
-49,-45,0,-50,-50
-49,-44,0,-50,-50
-49,-43,0,-50,-50
-49,-42,0,-50,-50
-49,-41,0,-50,-50
-49,-40,0,-50,-50
-49,-39,0,-50,-50
-49,-38,0,-50,-50
-49,-37,0,-50,-50
-49,-36,0,-50,-50
-49,-35,0,-50,-50
-49,-34,0,-50,-50
-49,-33,0,-50,-50
-49,-32,0,-50,-50
-49,-31,0,-50,-50
-49,-30,0,-50,-50
-49,-29,0,-50,-50
-49,-28,0,-50,-50
-49,-27,0,-50,-50
-49,-26,0,-50,-50
-49,-25,0,-50,-50
-49,-24,0,-50,-50
-49,-23,0,-50,-50
-49,-22,0,-50,-50
-49,-21,0,-50,-50
-49,-20,0,-50,-50
-49,-19,0,-50,-50
-49,-18,0,-50,-50
-49,-17,0,-50,-50
-49,-16,0,-50,-50
-49,-15,0,-50,-50
-49,-14,0,-50,-50
-49,-13,0,-50,-50
-49,-12,0,-50,-50
-49,-11,0,-50,-50
-49,-10,0,-50,-50
-49,-9,0,-50,-50
-49,-8,0,-50,-50
-49,-7,0,-50,-50
-49,-6,0,-50,-50
-49,-5,0,-50,-50
-49,-4,0,-50,-50
-49,-3,4,-23.5561,16.2664
-49,-2,0,-50,-50
-49,-1,4,-23.5561,16.2664
-49,0,0,-50,-50
-49,1,4,-23.5561,16.2664
-49,2,4,-23.5561,16.2664
-49,3,0,-50,-50
-49,4,0,-50,-50
-49,5,0,-50,-50
-49,6,4,-23.5561,16.2664
-49,7,4,-23.5561,16.2664
-49,8,4,-23.5561,16.2664
-49,9,0,-50,-50
-49,10,0,-50,-50
-49,11,0,-50,-50
-49,12,4,-23.5561,16.2664
-49,13,0,-50,-50
-49,14,4,-23.5561,16.2664
-49,15,4,-23.5561,16.2664
-49,16,4,-23.5561,16.2664
-49,17,0,-50,-50
-49,18,0,-50,-50
-49,19,0,-50,-50
-49,20,4,-23.5561,16.2664
-49,21,0,-50,-50
-49,22,4,-23.5561,16.2664
-49,23,4,-23.5561,16.2664
-49,24,4,-23.5561,16.2664
-49,25,4,-23.5561,16.2664
