tick,agent_id,x,y,color
0,345,-4,2,7
0,117,17,-13,5
0,101,13,11,3
0,389,-16,1,2
0,93,13,-13,5
0,21,12,8,3
0,145,12,8,3
0,137,14,-13,0
0,313,-12,13,1
0,273,13,11,3
0,37,12,5,3
0,125,-2,-13,5
0,169,13,-2,7
0,401,3,-4,7
0,33,-49,-1,4
0,229,-7,-7,2
0,213,3,4,7
0,421,7,-2,7
0,245,0,-19,5
0,221,-14,-15,5
0,409,4,14,6
0,181,2,-1,7
0,381,12,-4,7
0,121,16,-12,0
0,149,11,-11,7
0,441,8,-24,5
0,237,12,2,7
0,85,9,5,7
0,377,-20,0,2
0,205,13,11,3
0,25,11,4,7
0,5,3,-17,5
0,433,12,19,3
0,57,13,-12,5
0,241,-13,-19,5
0,385,17,-19,5
0,109,13,-1,7
0,353,-5,1,7
0,113,12,8,3
0,73,12,9,3
0,45,-27,-8,2
0,425,12,-11,7
0,397,-7,1,2
0,97,-7,-10,2
0,249,-4,-2,7
0,165,8,-26,5
0,185,16,-12,0
0,393,10,17,3
0,81,7,21,3
0,293,17,19,3
0,89,11,9,3
0,141,-3,-14,5
0,201,13,16,3
0,321,12,-4,7
0,49,12,8,3
0,1,10,4,7
0,197,7,5,7
0,341,11,-20,5
0,365,-28,-2,2
0,269,-14,12,4
0,277,-4,-14,5
0,173,13,3,0
0,105,13,9,3
0,361,-17,-1,2
0,317,12,-6,7
0,305,-1,-2,7
0,129,-17,12,4
0,161,4,4,7
0,265,13,10,3
0,133,12,8,3
0,77,15,6,3
0,29,-28,-1,4
0,337,12,15,3
0,405,2,6,7
0,373,3,-6,7
0,217,13,7,3
0,325,16,-1,7
0,369,-5,-15,5
0,357,-9,8,1
0,65,13,0,7
0,177,21,11,3
0,333,7,17,6
0,281,11,9,3
0,193,10,5,3
0,157,6,-14,5
0,153,4,14,6
0,297,16,-2,0
0,285,5,-13,5
0,329,8,-26,5
0,289,-4,-9,7
0,349,10,10,3
0,309,-10,-10,2
0,9,12,9,3
0,17,-13,11,1
0,261,14,-12,0
0,61,-4,2,7
0,253,13,-11,7
0,225,12,8,3
0,301,10,16,3
0,413,0,-11,5
0,209,8,16,3
0,13,11,6,3
0,53,-7,10,1
0,41,14,-13,0
0,233,12,4,3
0,69,13,8,3
0,189,12,10,3
0,437,17,1,3
0,417,10,4,7
0,445,12,17,3
0,429,17,-13,5
0,257,3,-1,7
1,273,13,11,3
1,393,11.3041,16.0439,3
1,113,12,8,3
1,5,3,-17,5
1,321,10.0717,-3.50109,7
1,65,13,0,7
1,245,0,-19,5
1,413,0,-11,5
1,309,-10,-10,2
1,145,12,8,3
1,369,-3.78818,-15.3484,5
1,229,-7,-7,2
1,177,21,11,3
1,313,-12,13,1
1,325,16,-1,7
1,333,7,17,6
1,29,-28,-1,4
1,341,11,-20,5
1,9,12,9,3
1,417,10,4,7
1,161,4,4,7
1,89,11,9,3
1,109,13,-1,7
1,81,8.15058,19.4777,3
1,125,-2,-13,5
1,237,12,2,7
1,1,10,4,7
1,105,13,9,3
