id,name,x,y,color
1,004,10,4,7
5,013,3,-17,5
9,026,12,9,3
13,038,11,6,3
17,044,-13,11,1
21,048,12,8,3
25,054,11,4,7
29,064,-28,-1,4
33,073,-49,-1,4
37,086,12,5,3
41,093,14,-13,0
45,101,-27,-8,2
49,110,12,8,3
53,115,-7,10,1
57,126,13,-12,5
61,138,-4,2,7
65,144,13,0,7
69,150,13,8,3
73,155,12,9,3
77,168,15,6,3
81,173,7,21,3
85,182,9,5,7
89,192,11,9,3
93,203,13,-13,5
97,210,-7,-10,2
101,A002,13,11,3
105,A009,13,9,3
109,A014,13,-1,7
113,A021,12,8,3
117,A029,17,-13,5
121,A045,16,-12,0
125,A050,-2,-13,5
129,A062,-17,12,4
133,A074,12,8,3
137,A084,14,-13,0
141,A092,-3,-14,5
145,A104,12,8,3
149,A110,11,-11,7
153,A116,4,14,6
157,A123,6,-14,5
161,A128,4,4,7
165,A140,8,-26,5
169,A186,13,-2,7
173,A214,13,3,0
177,A223,21,11,3
181,A237,2,-1,7
185,A245,16,-12,0
189,A255,12,10,3
193,A264,10,5,3
197,A269,7,5,7
201,A276,13,16,3
205,A280,13,11,3
209,A290,8,16,3
213,A299,3,4,7
217,A304,13,7,3
221,A313,-14,-15,5
225,A320,12,8,3
229,A325,-7,-7,2
233,A334,12,4,3
237,A338,12,2,7
241,Ex043,-13,-19,5
245,OUT012,0,-19,5
249,OUT020,-4,-2,7
253,OUT032,13,-11,7
257,OUT048,3,-1,7
261,OUT065,14,-12,0
265,OUT074,13,10,3
269,OUT080,-14,12,4
273,OUT096,13,11,3
277,OUT107,-4,-14,5
281,OUT112,11,9,3
285,OUT129,5,-13,5
289,OUT144,-4,-9,7
293,OUT149,17,19,3
297,OUT154,16,-2,0
301,OUT171,10,16,3
305,OUT184,-1,-2,7
309,OUT192,-10,-10,2
313,OUT203,-12,13,1
317,OUT217,12,-6,7
321,OUT223,12,-4,7
325,OUT245,16,-1,7
329,OUT251,8,-26,5
333,OUT258,7,17,6
337,OUT267,12,15,3
341,OUT276,11,-20,5
345,OUT284,-4,2,7
349,OUT296,10,10,3
353,OUT310,-5,1,7
357,OUT317,-9,8,1
361,OUT323,-17,-1,2
365,OUT327,-28,-2,2
369,OUT333,-5,-15,5
373,OUT339,3,-6,7
377,OUT343,-20,0,2
381,OUT350,12,-4,7
385,OUT358,17,-19,5
389,OUT364,-16,1,2
393,OUT372,10,17,3
397,OUT379,-7,1,2
401,OUT385,3,-4,7
405,OUT396,2,6,7
409,OUT403,4,14,6
413,OUT411,0,-11,5
417,OUT437,10,4,7
421,OUT522,7,-2,7
425,OUT534,12,-11,7
429,OUT539,17,-13,5
433,OUT549,12,19,3
437,OUT559,17,1,3
441,OUT567,8,-24,5
445,OUT573,12,17,3
