"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,594,181,3264,5,0,35,43,0,445,324,0,2784,1
1.5,1893,239,1907,3,2,35,178,18,292,1490,38,1580,1
2.5,2482,391,1166,12,2,26,250,81,157,1998,127,983,1
3.5,2676,550,813,16,3,21,227,147,114,2211,219,678,1
4.5,2639,709,691,14,6,20,195,200,93,2208,322,578,1
5.5,2551,826,662,14,9,17,166,248,74,2149,388,571,1
6.5,2448,947,644,13,11,16,130,281,77,2083,474,551,1
7.5,2344,1089,606,18,11,11,126,296,66,1978,601,529,1
8.5,2302,1155,582,21,14,5,100,319,69,1959,641,508,1
9.5,2220,1229,590,21,14,5,85,338,65,1892,696,520,1
10.5,2206,1300,533,18,16,6,80,345,63,1886,758,464,1
11.5,2162,1320,557,16,18,6,81,351,56,1843,770,495,1
12.5,2092,1372,575,15,20,5,74,348,66,1781,823,504,1
13.5,2044,1402,593,12,21,7,58,363,67,1752,837,519,1
14.5,2056,1431,552,13,19,8,56,375,57,1765,856,487,1
15.5,2004,1451,584,12,20,8,52,369,67,1718,881,509,1
16.5,1973,1481,585,14,21,5,51,372,65,1686,907,515,1
17.5,1993,1491,555,14,22,4,43,365,80,1714,923,471,1
18.5,1959,1493,587,10,25,5,48,364,76,1679,923,506,1
19.5,1909,1513,617,10,25,5,49,368,71,1628,939,541,1
20.5,1916,1538,585,8,28,4,51,372,65,1635,957,516,1
21.5,1901,1574,564,8,29,3,48,379,61,1623,985,500,1
22.5,1907,1601,531,7,31,2,36,385,67,1642,1004,462,1
23.5,1864,1623,552,4,35,1,34,393,61,1604,1014,490,1
24.5,1850,1610,579,4,35,1,32,393,63,1592,1001,515,1
25.5,1820,1617,602,2,36,2,30,404,54,1566,996,546,1
26.5,1861,1612,566,3,34,3,35,399,54,1601,998,509,1
27.5,1869,1627,543,1,36,3,36,395,57,1610,1015,483,1
28.5,1827,1634,578,1,35,4,32,396,60,1572,1022,514,1
29.5,1848,1608,583,2,33,5,31,400,57,1593,994,521,1
30.5,1866,1619,554,4,33,3,25,414,49,1615,991,502,1
31.5,1858,1626,555,4,33,3,25,400,63,1607,1012,489,1
32.5,1818,1647,574,4,33,3,23,402,63,1569,1031,508,1
33.5,1782,1613,644,3,31,6,33,382,73,1524,1019,565,1
34.5,1802,1597,640,3,31,6,36,385,67,1541,1000,567,1
35.5,1851,1604,584,5,33,2,31,388,69,1593,1002,513,1
36.5,1845,1596,598,4,29,7,37,391,60,1582,995,531,1
37.5,1873,1581,585,3,31,6,42,380,66,1606,989,513,1
38.5,1898,1598,543,4,30,6,39,379,70,1633,1008,467,1
39.5,1880,1599,560,3,29,8,39,387,62,1616,1002,490,1
40.5,1887,1609,543,2,28,10,39,392,57,1624,1008,476,1
41.5,1840,1608,591,2,27,11,38,402,48,1578,998,532,1
42.5,1836,1632,571,5,31,4,35,404,49,1574,1016,518,1
43.5,1801,1604,634,4,33,3,27,400,61,1548,990,570,1
44.5,1830,1617,592,5,32,3,22,413,53,1581,991,536,1
45.5,1836,1631,572,3,33,4,21,413,54,1590,1004,514,1
46.5,1836,1621,582,3,32,5,19,408,61,1592,1000,516,1
47.5,1807,1623,609,3,31,6,17,414,57,1565,997,546,1
48.5,1834,1616,589,4,31,5,16,412,60,1592,992,524,1
49.5,1816,1641,582,3,31,6,17,413,58,1574,1016,518,1
50.5,1852,1629,558,2,31,7,17,406,65,1611,1011,486,1
51.5,1859,1634,546,3,34,3,25,403,60,1609,1016,483,1
52.5,1875,1640,524,3,31,6,27,414,47,1623,1014,471,1
53.5,1846,1614,579,2,35,3,25,400,63,1597,998,513,1
54.5,1880,1580,579,2,35,3,37,394,57,1619,970,519,1
55.5,1863,1577,599,1,31,8,36,396,56,1604,969,535,1
56.5,1818,1578,643,4,30,6,34,398,56,1558,969,581,1
57.5,1824,1587,628,4,32,4,42,389,57,1556,985,567,1
58.5,1819,1596,624,4,30,6,43,371,74,1550,1014,544,1
59.5,1861,1587,591,6,28,6,47,372,69,1586,1006,516,1
