"tick","total_believers","total_fact_checkers","total_susceptibles","influencer_believers","influencer_fact_checkers","influencer_susceptibles","scholar_believers","scholar_fact_checkers","scholar_susceptibles","normal_believers","normal_fact_checkers","normal_susceptibles","run_id"
0.5,590,205,3244,6,0,34,52,0,436,334,0,2774,6
1.5,2001,256,1782,10,0,30,220,13,255,1573,38,1497,6
2.5,2563,394,1082,23,2,15,249,81,158,2093,106,909,6
3.5,2662,591,786,22,8,10,223,172,93,2219,206,683,6
4.5,2631,775,633,22,11,7,185,227,76,2226,332,550,6
5.5,2575,866,598,18,14,8,153,266,69,2206,381,521,6
6.5,2453,994,592,14,21,5,127,299,62,2114,469,525,6
7.5,2353,1087,599,11,25,4,99,328,61,2045,529,534,6
8.5,2284,1177,578,11,27,2,81,344,63,1994,601,513,6
9.5,2164,1255,620,8,25,7,81,344,63,1877,681,550,6
10.5,2082,1320,637,5,30,5,63,363,62,1816,722,570,6
11.5,2069,1370,600,5,30,5,54,359,75,1812,776,520,6
12.5,2010,1421,608,5,31,4,57,362,69,1750,823,535,6
13.5,2002,1466,571,4,31,5,44,376,68,1756,854,498,6
14.5,1989,1464,586,3,30,7,53,380,55,1735,849,524,6
15.5,1937,1508,594,3,30,7,40,397,51,1696,876,536,6
16.5,1925,1511,603,4,31,5,34,396,58,1689,879,540,6
17.5,1962,1511,566,4,31,5,33,399,56,1727,876,505,6
18.5,1959,1545,535,2,32,6,26,404,58,1733,904,471,6
19.5,1894,1558,587,5,33,2,19,406,63,1672,914,522,6
20.5,1874,1572,593,4,33,3,23,403,62,1649,931,528,6
21.5,1829,1605,605,3,34,3,22,402,64,1606,964,538,6
22.5,1869,1595,575,4,31,5,28,398,62,1639,961,508,6
23.5,1869,1613,557,5,30,5,28,405,55,1638,973,497,6
24.5,1861,1614,564,3,32,5,30,411,47,1630,966,512,6
25.5,1861,1633,545,4,31,5,32,414,42,1627,983,498,6
26.5,1892,1588,559,6,29,5,33,400,55,1655,954,499,6
27.5,1873,1596,570,6,32,2,34,401,53,1635,958,515,6
28.5,1875,1580,584,3,32,5,40,395,53,1634,948,526,6
29.5,1872,1619,548,4,32,4,36,407,45,1634,975,499,6
30.5,1869,1632,538,4,33,3,31,408,49,1636,986,486,6
31.5,1846,1604,589,4,33,3,38,386,64,1606,980,522,6
32.5,1819,1605,615,2,32,6,34,383,71,1585,985,538,6
33.5,1869,1620,550,1,36,3,38,388,62,1632,991,485,6
