alpha_hoax_credibility,believer_percentage,beta_spreading_rate,bot_p_believer,bot_p_fact_checker,influencer_p_forget,influencer_p_verify,network_file,normal_p_forget,normal_p_verify,run_id,scholar_p_forget,scholar_p_verify,scholars_community,total_ticks
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,1,0.07,0.3,7,168
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,2,0.07,0.3,7,168
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,3,0.07,0.3,7,168
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,4,0.07,0.3,7,168
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,5,0.07,0.3,7,168
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,6,0.07,0.3,7,168
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,7,0.07,0.3,7,168
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,8,0.07,0.3,7,168
0.8,0.1,0.5,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,9,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,10,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,11,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,12,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,13,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,14,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,15,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,16,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,17,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,18,0.07,0.3,7,168
0.4,0.5,0.2,0.05,0.05,0.05,0.2,./props/network.gml,0.1,0.05,19,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,20,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,21,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,22,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,23,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,24,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,25,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,26,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,27,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,28,0.07,0.3,7,168
0.5,0.95,0.8,0.05,0.05,0.05,0.1,./props/network.gml,0.1,0.02,29,0.07,0.3,7,168
